HHID ,Inhereted,Rented,Bought,Borrowed,Cleared
AMB005,13236,0,0,0,1000.8
AMB007,7974.4,0,3691.2,8420,8838
AMB009,0,0,0,776,149628
AMB010,0,0,11543,11106,0
AMB018,1155.6,0,0,15928,16652.5
AMB020,6695,0,2409,0,0
AMB021,4666,0,802,17440,0
AMB028,23888,0,0,578,34975
AMB036,14778,0,223,840,20577
AMB039,8397,0,0,0,0
AMB042,0,0,23117.2,615.5,0
AMB046,59697,0,0,1579,0
AMB049,17373.6,0,0,0,99769
AMB055,0,0,0,4763,0
AMB057,4143.75,0,0,17804,0
AMB059,12856,0,9101,0,0
AMB060,8558,0,22432,0,0
AMB061,0,0,0,0,15114
AMB064,0,0,0,15510,0
AMB067,0,19484,0,0,0
AMB079,6290,0,11642,0,0
AMB083,10943,0,0,158,0
AMB085,28088.5,0,0,204,0
AMB087,8399,0,3592,737,27472
AMF004,7719.5,0,0,0,5296.5
AMF005,7896,0,0,0,4103
AMF006,15864,0,0,0,0
AMF007,2087,0,0,0,0
AMF008,0,0,3216,1072,0
AMF010,39014,0,0,0,0
AMF011,13679.3,0,0,2614,0
AMF012,39740.5,0,0,0,0
AMF013,1959,0,0,0,0
AMF014,3719,0,0,1448,0
AMF015,5874,0,979,1131,0
AMF016,25621.81,0,15432,0,0
AMF017,2502,0,1316,1838,110
AMF018,814,0,915.75,0,0
AMF019,24318,0,10639,543,0
AMF020,11121,0,0,0,0
AMF021,1521,152.25,3654,0,0
AMF023,960,0,0,0,0
AMF025,28859.5,0,1319,0,8371.5
AMF026,14307,0,2317,0,16889
AMF027,1412,0,0,2938,0
AMF028,24961.5,0,22024.5,0,8670
AMF030,20479.5,0,0,908,0
AMF031,5826,0,2589,635,0
AMF032,10230.5,0,3949,0,0
AMF033,14304,0,1530,0,0
AMF034,18592.5,0,0,0,40839
AMF035,7665,0,111921,0,0
AMF037,4782,0,693,2772,0
AMF039,2638,0,0,0,0
AMF040,13080.55,0,0,0,0
AMF041,11977,0,0,1968,0
AMF042,12002.5,0,0,0,0
AMF043,12800,0,0,0,43412
AMF044,1547,8108,0,0,0
AMF045,7554.75,4317,0,0,0
AMF046,32208,0,0,0,0
AMF047,10131,0,0,0,0
AMF048,1777,0,0,356,0
AMF049,23191.5,0,0,0,0
AMP001,0,0,0,0,41616
AMP008,14628,0,0,0,14628
AMP014,0,0,0,0,76956.75
AMP016,0,0,0,0,75494.5
AMP017,0,0,0,0,144114
AMP021,0,0,0,0,81636.5
AMP031,4249,26535,0,0,0
AMP032,377.75,0,0,1511,0
AMP033,0,0,0,14269.2,0
AMP037,21180,0,0,0,0
AMP039,0,0,0,0,39414.25
AMP041,0,0,0,0,44125
AMP042,7308.9,5829,0,0,0
AMP044,0,0,0,0,89042.4
AMP050,113228.2,0,0,0,116129.7
AMP052,0,0,0,19230,30955.5
AMP054,0,9815,0,0,29445
AMP061,165465,0,0,0,640.5
AMP072,0,664,0,0,0
AMP073,17060,0,0,0,70602
AMP074,0,0,0,0,32444
AMP080,0,0,0,0,4083
AMP082,2535,0,0,0,4142.5
AMP089,13994.4,0,0,0,216
AMP091,60956,0,0,0,26006.5
AMP098,401,0,0,3523,22511
AMP102,0,0,0,0,17902.8
AMP104,29408,0,0,0,19274
AMP107,0,0,0,0,19300
AMP108,0,0,0,6528,0
AMP109,0,0,0,0,40437
AMP110,0,0,0,1043,0
AMP113,54207.5,0,151974,0,32524.5
AMP115,0,0,2052,0,0
AMP118,5394,7446,0,0,2697
AMP120,0,0,1065,0,0
AMP122,0,0,0,0,39638
AMP123,8111,0,0,0,4901
AMP127,0,18357,0,0,11014.2
AMP131,0,0,0,5095,1528.5
