Sn,hhid,Cleared_land
1,AMB003,yes
2,AMB004,yes
3,AMB005,yes
4,AMB008,yes
5,AMB037,yes
6,AMB048,yes
7,AMB054,yes
8,AMB073,yes
9,AMB078,yes
10,AMB083,yes
11,AMF006,yes
12,AMF010,yes
13,AMF028,yes
14,AMF038,yes
15,AMF043,yes
16,AMP001,yes
17,AMP007,yes
18,AMP047,yes
19,AMP053,yes
20,AMP054,yes
21,AMP057,yes
22,AMP058,yes
23,AMP071,yes
24,AMP076,yes
25,AMP082,yes
26,AMP092,yes
27,AMP097,yes
28,AMP098,yes
29,AMP109,yes
30,AMP124,yes
31,AMP131,yes
32,AMP143,yes
33,AMP144,yes
34,AMP173,yes
35,AMP182,yes
36,AMP183,yes
37,AMP188,yes
38,AMP192,yes
39,AMP194,yes
40,ANT002,yes
41,ANT025,yes
42,ANT047,yes
43,SAH002,yes
44,SAH005,yes
45,SAH010,yes
46,SAH025,yes
47,SAH040,yes
48,SAH041,yes
49,SAH043,yes
50,SAH047,yes
51,SAH052,yes
52,SAH053,yes
53,SAH069,yes
54,SAH081,yes
55,SAH086,yes
56,VBA010,yes
57,VBA011,yes
58,VBA020,yes
59,VBA022,yes
60,VBA053,yes
61,VVE011,yes
62,VVE039,yes
63,VVE042,yes
64,AMP080,yes
65,AMB031,yes
66,AMB058,yes
67,AMB072,yes
68,AMF026,yes
69,AMF034,yes
70,AMP011,yes
71,AMP016,yes
72,AMP020,yes
73,AMP033,yes
74,AMP045,yes
75,AMP052,yes
76,AMP078,yes
77,AMP079,yes
78,AMP099,yes
79,AMP101,yes
80,AMP103,yes
81,AMP104,yes
82,AMP107,yes
83,AMP135,yes
84,AMP136,yes
85,AMP156,yes
86,AMP159,yes
87,AMP160,yes
88,AMP162,yes
89,AMP191,yes
90,AMP198,yes
91,AMP200,yes
92,AMP201,yes
93,AMP203,yes
94,SAH011,yes
95,SAH063,yes
96,SAH071,yes
97,VBA007,yes
98,VBA017,yes
99,VVE016,yes
100,VVE017,yes
101,VVE040,yes
102,VVE043,yes
103,VVE046,yes
104,AMB063,yes
105,AMB069,yes
106,AMB070,yes
107,AMB075,yes
108,AMP013,yes
109,AMP055,yes
110,AMP074,yes
111,AMP077,yes
112,AMP116,yes
113,AMP129,yes
114,AMP130,yes
115,AMP132,yes
