resp_id,site,Mig_status,Reason,hh_age,hh_size,dist2park,dist_mig,PA,new_dist
AMP005,Ampahitra,0,4,1,6,-1332,0,New,13.676
AMP007,Ampahitra,0,4,1,4,-1651,150.2,New,128.294
AMP011,Ampahitra,0,4,1,7,-1596,0,New,13.676
AMP018,Ampahitra,0,4,1,5,-2949,29.4,New,25.897
AMP022,Ampahitra,0,4,1,5,-1336,29.4,New,25.897
AMP060,Ampahitra,0,3,1,4,114,37.57,New,32.082
AMP096,Ampahitra,0,4,1,5,2424,29.4,New,25.897
AMP115,Ampahitra,0,3,1,3,518,33.41,New,35.878
AMP117,Ampahitra,0,3,1,4,419,61.53,New,66.002
AMP120,Ampahitra,0,6,1,5,1057,681.757,New,670.768
AMP140,Ampahitra,0,2,1,4,140,29.4,New,25.897
AMP154,Ampahitra,0,2,1,3,-1028,29.4,New,25.897
AMP166,Ampahitra,0,4,1,3,1324,0,New,13.676
AMP169,Ampahitra,0,4,1,6,2435,29.4,New,25.897
AMP172,Ampahitra,0,3,1,3,1314,0,New,13.676
AMP003,Ampahitra,0,4,2,8,-2713,29.4,New,25.897
AMP014,Ampahitra,0,5,2,7,-2390,37.57,New,32.082
AMP031,Ampahitra,0,4,2,4,-61,33.84,New,34.905
AMP038,Ampahitra,0,4,2,6,19,37.57,New,32.082
AMP042,Ampahitra,0,3,2,3,470,481.156,New,473.586
AMP059,Ampahitra,0,6,2,3,87,0,New,13.676
AMP068,Ampahitra,0,4,2,4,-48,29.4,New,25.897
AMP108,Ampahitra,0,4,2,6,321,18.4,New,21.029
AMP111,Ampahitra,0,5,2,3,-447,33.84,New,34.905
AMP134,Ampahitra,0,6,2,1,351,37.57,New,32.082
AMP153,Ampahitra,0,4,2,8,-170,29.4,New,25.897
AMP184,Ampahitra,0,4,2,5,979,29.4,New,25.897
AMP187,Ampahitra,0,5,2,4,1306,29.4,New,25.897
AMP199,Ampahitra,0,4,2,11,979,29.4,New,25.897
AMP016,Ampahitra,0,4,3,3,-1112,0,New,13.676
AMP092,Ampahitra,0,4,3,5,2424,18.4,New,21.029
AMP121,Ampahitra,0,4,3,7,908,29.4,New,25.897
AMP149,Ampahitra,0,4,3,3,-66,29.4,New,25.897
AMP156,Ampahitra,0,4,3,2,-1085,29.4,New,25.897
AMP180,Ampahitra,0,4,3,4,1017,29.4,New,25.897
AMP010,Ampahitra,0,4,4,8,-705,29.4,New,25.897
AMP051,Ampahitra,0,5,4,3,-491,37.57,New,32.082
AMP069,Ampahitra,0,4,4,2,2985,0,New,13.676
AMP070,Ampahitra,0,4,4,3,315,70.74,New,83.827
AMP106,Ampahitra,0,3,4,3,-414,0,New,13.676
AMP109,Ampahitra,0,4,4,3,518,671.33,New,657.72
AMP163,Ampahitra,0,4,4,6,-974,29.4,New,25.897
AMP170,Ampahitra,0,4,4,8,578,29.4,New,25.897
AMP171,Ampahitra,0,4,4,4,1330,29.4,New,25.897
AMP181,Ampahitra,0,4,4,5,994,29.4,New,25.897
AMP004,Ampahitra,0,4,5,6,-1279,29.4,New,25.897
AMP015,Ampahitra,0,4,5,12,-644,29.4,New,25.897
AMP020,Ampahitra,0,2,5,5,-772,29.4,New,25.897
AMP024,Ampahitra,0,4,5,1,-910,77.71,New,72.187
AMP029,Ampahitra,0,4,5,10,85,0,New,13.676
AMP063,Ampahitra,0,4,5,6,2161,0,New,13.676
AMP158,Ampahitra,0,4,5,4,-149,0,New,13.676
AMP167,Ampahitra,0,4,5,4,1026,29.4,New,25.897
AMP176,Ampahitra,0,4,5,5,971,29.4,New,25.897
AMP191,Ampahitra,0,6,5,6,1325,29.4,New,25.897
AMP025,Ampahitra,0,4,6,8,-1074,29.4,New,25.897
AMP035,Ampahitra,0,4,6,7,668,37.57,New,32.082
AMP040,Ampahitra,0,4,6,7,787,NA,New,NA
AMP136,Ampahitra,0,4,6,7,86,37.57,New,32.082
AMP150,Ampahitra,0,4,6,6,-1094,29.4,New,25.897
AMP157,Ampahitra,0,4,6,4,-2173,29.4,New,25.897
AMP160,Ampahitra,0,4,6,6,-1371,29.4,New,25.897
AMP177,Ampahitra,0,3,6,12,1087,29.4,New,25.897
AMP193,Ampahitra,0,4,6,7,1296,29.4,New,25.897
AMP019,Ampahitra,0,3,7,6,-1141,18.4,New,21.029
AMP039,Ampahitra,0,4,7,8,-998,29.4,New,25.897
AMP052,Ampahitra,0,6,7,6,120,425.84,New,425.646
AMP089,Ampahitra,0,4,7,5,3028,NA,New,NA
AMP090,Ampahitra,0,4,7,6,4033,0,New,13.676
AMP126,Ampahitra,0,4,7,5,79,18.4,New,21.029
AMP131,Ampahitra,0,5,7,6,25,61.53,New,66.002
AMP148,Ampahitra,0,4,7,6,-741,0,New,13.676
AMP159,Ampahitra,0,4,7,7,-1100,29.4,New,25.897
AMP164,Ampahitra,0,4,7,5,1801,29.4,New,25.897
AMP196,Ampahitra,0,4,7,10,2271,29.4,New,25.897
AMP001,Ampahitra,0,4,8,3,-1703,18.4,New,21.029
AMP030,Ampahitra,0,4,8,11,-52,47.013,New,43.215
AMP049,Ampahitra,0,5,8,7,94,0,New,13.676
AMP067,Ampahitra,0,4,8,5,2084,0,New,13.676
AMP104,Ampahitra,0,4,8,5,1442,0,New,13.676
AMP152,Ampahitra,0,4,8,3,-1042,29.4,New,25.897
AMP174,Ampahitra,0,4,8,5,2293,29.4,New,25.897
AMP182,Ampahitra,0,4,8,9,2322,29.4,New,25.897
AMP021,Ampahitra,0,4,9,10,-2408,29.4,New,25.897
AMP155,Ampahitra,0,4,9,7,-1081,29.4,New,25.897
AMP161,Ampahitra,0,4,9,5,-1372,29.4,New,25.897
AMP173,Ampahitra,0,4,9,6,2575,29.4,New,25.897
AMP203,Ampahitra,0,4,9,6,-970,29.4,New,25.897
AMP026,Ampahitra,0,4,10,11,-1410,29.4,New,25.897
AMP034,Ampahitra,0,4,10,4,-111,139.502,New,184.961
AMP037,Ampahitra,0,5,10,5,81,33.41,New,35.878
AMP081,Ampahitra,0,4,10,5,2483,39.46,New,40.663
AMP151,Ampahitra,0,4,10,8,-1087,29.4,New,25.897
AMP190,Ampahitra,0,4,10,8,3313,29.4,New,25.897
AMP192,Ampahitra,0,4,10,8,1255,29.4,New,25.897
AMP043,Ampahitra,0,4,11,5,146,33.41,New,35.878
AMP046,Ampahitra,0,5,11,5,-515,18.4,New,21.029
AMP057,Ampahitra,0,4,11,7,-75,33.41,New,35.878
AMP086,Ampahitra,0,3,11,10,2967,29.4,New,25.897
