sn,resp_id,site,fokontany,main_house_rm,house_qlty,tlu,food_sec,type_light,light_sufficiency,mplayer_num,irrigated_rice,education
193,AMP193,Ampahitra,Ampahitra,0,1,0,5,1,0,0,0,0
591,AMF037,Amporoforo,Amporoforo,1,1,0.9,11,1,2,0,1,NA
204,AMB001,Zahamena,Ambodivoangy,1,1,0.02,6,1,0,0,1,0
207,AMB004,Zahamena,Ambodivoangy,1,1,0.03,8,1,0,0,0,0
208,AMB005,Zahamena,Ambodivoangy,1,1,0.04,9,1,0,0,1,0
209,AMB006,Zahamena,Ambodivoangy,1,1,0.01,9,1,0,0,1,0
210,AMB007,Zahamena,Ambodivoangy,1,1,0.22,8,1,0,0,0,0
211,AMB008,Zahamena,Ambodivoangy,1,1,0,6,0,0,0,1,0
215,AMB012,Zahamena,Ambodivoangy,1,1,0.05,9,1,0,0,0,0
216,AMB013,Zahamena,Ambodivoangy,1,1,0.02,8,0,0,0,1,0
218,AMB015,Zahamena,Ambodivoangy,1,1,0.2,7,1,0,0,0,0
222,AMB019,Zahamena,Ambodivoangy,1,1,0.02,8,1,0,0,0,0
223,AMB020,Zahamena,Ambodivoangy,1,1,0.04,9,1,0,0,0,0
224,AMB021,Zahamena,Ambodivoangy,1,1,0.27,5,1,0,0,0,0
226,AMB023,Zahamena,Ambodivoangy,1,1,0.01,9,1,0,0,0,0
230,AMB027,Zahamena,Ambodivoangy,1,1,0.02,3,1,0,0,0,0
231,AMB028,Zahamena,Ambodivoangy,1,1,0.03,2,1,2,0,1,0
236,AMB033,Zahamena,Ambodivoangy,1,1,0,4,0,2,0,0,0
239,AMB036,Zahamena,Ambodivoangy,1,1,0.3,2,1,0,0,1,0
240,AMB037,Zahamena,Ambodivoangy,1,1,1.36,5,1,0,1,0,0
241,AMB038,Zahamena,Ambodivoangy,1,1,0.02,4,0,1,0,0,0
247,AMB044,Zahamena,Ambodivoangy,1,1,0.02,12,1,0,0,1,0
248,AMB045,Zahamena,Ambodivoangy,1,1,0.01,6,1,2,0,0,0
