Resp_id,Borrowed,Bought,Cleared,Inherited,Other,Rented,Grand Total
AMB001,0,0,0,3,0,1,4
AMB002,0,3,0,4,0,0,7
AMB003,1,1,1,4,0,0,7
AMB004,0,0,1,4,0,0,5
AMB005,0,0,1,2,0,0,3
AMB006,0,0,0,5,0,0,5
AMB007,1,0,0,7,0,0,8
AMB008,0,0,1,7,0,0,8
AMB009,0,1,0,1,0,0,2
AMB010,3,2,0,0,0,0,5
AMB011,0,1,0,6,0,0,7
AMB012,0,0,0,7,0,0,7
AMB013,0,0,0,8,0,1,9
AMB014,0,0,0,3,0,1,4
AMB015,0,1,0,3,0,0,4
AMB016,0,0,0,6,0,0,6
AMB017,0,3,0,3,0,0,6
AMB018,2,0,0,3,0,0,5
AMB019,0,0,4,1,0,0,5
AMB020,6,0,0,1,0,0,7
AMB021,0,0,0,6,0,0,6
AMB022,0,0,0,2,0,0,2
AMB023,0,0,0,6,0,0,6
AMB024,6,1,0,0,0,0,7
AMB025,0,0,0,4,0,0,4
AMB026,2,2,0,0,0,0,4
AMB027,1,0,0,2,0,0,3
AMB028,0,1,0,5,0,0,6
AMB029,0,3,0,2,0,0,5
AMB030,0,1,0,2,0,0,3
AMB031,0,1,2,2,0,0,5
AMB033,0,0,0,2,0,0,2
AMB034,0,0,0,1,0,0,1
AMB035,2,0,0,0,0,1,3
AMB036,2,0,0,4,0,0,6
AMB037,0,2,1,2,0,0,5
AMB038,0,0,0,4,0,0,4
AMB039,0,0,0,3,0,0,3
AMB040,0,6,0,0,0,0,6
AMB041,0,0,0,2,0,0,2
AMB042,0,4,0,0,0,0,4
AMB043,2,0,0,3,0,0,5
AMB044,0,0,0,6,0,0,6
AMB045,1,0,0,2,0,0,3
AMB046,0,0,0,4,0,0,4
AMB047,0,1,0,4,0,0,5
AMB048,1,0,1,4,0,0,6
AMB049,0,0,0,4,0,0,4
AMB050,0,0,0,3,0,1,4
AMB051,1,4,0,1,0,0,6
AMB052,0,1,0,3,0,0,4
AMB053,1,0,0,3,0,0,4
AMB054,0,0,1,1,0,2,4
AMB055,0,0,0,2,0,0,2
AMB056,0,3,0,2,0,0,5
AMB057,3,0,0,2,0,0,5
AMB058,0,0,2,0,0,0,2
AMB059,2,0,0,2,0,0,4
AMB060,0,1,0,0,0,0,1
AMB061,0,0,0,8,0,0,8
AMB062,0,0,0,4,0,1,5
AMB063,1,0,3,3,0,0,7
AMB064,1,0,0,3,0,0,4
AMB065,1,0,0,3,0,0,4
AMB066,0,0,0,6,0,0,6
AMB067,1,0,0,2,0,1,4
AMB068,0,0,0,2,0,0,2
AMB069,0,0,3,0,0,0,3
AMB070,0,0,3,5,0,0,8
AMB071,0,0,8,0,0,0,8
AMB072,0,0,2,7,0,0,9
AMB073,0,4,1,0,0,1,6
AMB074,0,0,0,2,0,0,2
AMB075,0,0,3,1,0,0,4
AMB076,0,0,0,6,0,0,6
AMB077,0,2,0,2,0,0,4
AMB078,1,0,1,3,0,0,5
AMB079,0,3,0,4,0,0,7
AMB080,0,1,0,1,3,0,5
AMB081,0,0,0,6,0,1,7
AMB082,2,1,0,3,0,0,6
AMB083,0,0,1,3,0,0,4
AMB084,0,2,4,1,0,0,7
AMB085,0,0,0,4,0,0,4
AMB086,0,0,0,8,0,0,8
AMB087,0,0,0,6,0,0,6
AMB088,1,0,0,4,0,0,5
AMF001,0,1,0,3,0,0,4
AMF002,0,0,0,2,0,0,2
AMF003,0,0,0,2,0,0,2
AMF004,0,0,4,0,0,0,4
AMF005,0,1,0,7,0,0,8
AMF006,0,0,1,2,0,0,3
AMF007,0,0,0,1,0,0,1
AMF008,1,2,0,0,0,0,3
AMF009,2,1,0,3,0,0,6
AMF010,0,0,1,4,0,0,5
AMF011,1,0,0,3,0,0,4
AMF012,1,0,0,4,0,0,5
AMF013,0,0,0,4,0,0,4
AMF014,0,0,0,3,0,0,3
AMF015,0,0,0,4,0,0,4
AMF016,0,1,0,7,0,0,8
AMF017,0,2,0,3,0,0,5
AMF018,1,0,0,0,0,0,1
AMF019,1,1,0,2,0,0,4
AMF020,1,0,0,4,0,1,6
AMF021,0,2,0,4,0,0,6
AMF022,1,0,0,2,0,2,5
AMF023,0,0,0,4,0,0,4
AMF024,0,0,0,6,0,0,6
AMF025,1,1,0,3,0,0,5
AMF026,0,1,2,3,0,0,6
AMF027,2,0,0,1,0,0,3
AMF028,0,0,1,4,0,1,6
AMF029,1,0,0,4,0,1,6
AMF030,2,1,0,3,0,0,6
AMF031,2,3,0,1,0,0,6
AMF032,1,1,0,3,0,0,5
AMF033,0,1,0,4,0,0,5
AMF034,0,0,2,4,0,0,6
AMF035,0,7,0,2,0,0,9
AMF036,0,0,0,3,0,0,3
AMF037,1,1,0,3,0,0,5
AMF038,1,0,1,2,0,0,4
AMF039,0,0,0,3,0,0,3
AMF040,0,0,0,3,0,0,3
AMF041,1,0,0,4,0,0,5
AMF042,0,0,0,4,0,0,4
AMF043,0,0,1,4,0,0,5
AMF044,0,0,0,4,0,2,6
AMF045,0,0,0,4,0,1,5
AMF046,0,0,0,8,0,0,8
AMF047,0,0,0,4,0,0,4
AMF048,1,0,0,3,0,0,4
AMF049,1,0,0,4,0,0,5
AMP001,0,0,1,0,0,0,1
AMP002,0,0,0,3,0,0,3
AMP003,4,0,0,0,0,0,4
AMP004,0,6,0,0,0,0,6
AMP005,2,0,0,0,0,0,2
AMP006,0,4,0,0,0,0,4
AMP007,0,0,1,0,0,0,1
AMP008,0,0,0,2,0,0,2
AMP009,0,0,0,2,0,0,2
AMP010,0,0,0,2,0,0,2
AMP011,0,0,2,0,0,0,2
AMP012,0,0,0,2,0,0,2
AMP013,0,0,3,0,0,0,3
AMP014,2,0,0,0,0,0,2
AMP015,0,2,0,0,0,0,2
AMP016,0,0,2,0,0,0,2
AMP017,0,0,4,0,0,0,4
AMP018,1,0,0,0,0,0,1
AMP019,0,0,8,1,0,0,9
AMP020,0,2,2,0,0,0,4
