"","resp_id","sn","site","fokontany","main_house_rm","house_qlty","tlu","food_sec","mplayer_num","irrigated_rice","lightAvail","Migrant","hh_age","M_reason","hh_size","dist2park","dist_migrated","PC1","PC2","MigrantF"
"1","AMB001",204,"Zahamena","Ambodivoangy",1,1,0.02,6,0,1,1,1,5,NA,2,2456,NA,-0.557005524741843,-0.422890442561919,"Non-migrant"
"2","AMB002",205,"Zahamena","Ambodivoangy",1,2,1.62,9,0,1,1,0,38,3,7,2330,0,0.758474031539756,-1.41289527087852,"Migrant"
"3","AMB003",206,"Zahamena","Ambodivoangy",1,2,0.24,9,0,1,1,1,13,NA,7,2418,NA,0.579879299907725,-1.91546942486998,"Non-migrant"
"4","AMB004",207,"Zahamena","Ambodivoangy",1,1,0.03,8,0,0,1,0,38,2,9,2382,0,-0.881157955426533,-0.376616378783199,"Migrant"
"5","AMB005",208,"Zahamena","Ambodivoangy",1,1,0.04,9,0,1,1,0,38,2,8,2485,0,-0.218687588535817,-0.645152645517864,"Migrant"
"6","AMB006",209,"Zahamena","Ambodivoangy",1,1,0.01,9,0,1,1,1,14,NA,7,2401,NA,-0.22257008270173,-0.656078170604635,"Non-migrant"
"7","AMB007",210,"Zahamena","Ambodivoangy",1,1,0.22,8,0,0,1,1,8,NA,4,2429,NA,-0.85656882570908,-0.307421386566984,"Non-migrant"
"8","AMB008",211,"Zahamena","Ambodivoangy",1,1,0,6,0,1,0,1,8,NA,6,2498,NA,-0.870924977654751,-0.637862236234552,"Non-migrant"
"9","AMB009",212,"Zahamena","Ambodivoangy",2,2,0.01,8,0,1,1,1,49,NA,5,2315,NA,0.862623305276695,-2.1552291750885,"Non-migrant"
"10","AMB010",213,"Zahamena","Ambodivoangy",2,2,0.02,10,0,1,1,1,13,NA,6,2262,NA,1.08773720784006,-2.30461792429099,"Non-migrant"
"11","AMB011",214,"Zahamena","Ambodivoangy",4,2,0.04,8,0,1,3,1,13,NA,9,2324,NA,2.33800737217055,-2.19395280277678,"Non-migrant"
"12","AMB012",215,"Zahamena","Ambodivoangy",1,1,0.05,9,0,0,1,1,3,NA,4,2048,NA,-0.766659757061896,-0.44584799084106,"Non-migrant"
"13","AMB013",216,"Zahamena","Ambodivoangy",1,1,0.02,8,0,1,0,1,2,NA,6,1998,NA,-0.644516910369419,-0.783609143741455,"Non-migrant"
"14","AMB014",217,"Zahamena","Ambodivoangy",1,1,0.01,8,0,0,3,1,4,NA,5,2088,NA,-0.261084037932545,0.0314761583885248,"Non-migrant"
"15","AMB015",218,"Zahamena","Ambodivoangy",1,1,0.2,7,0,0,1,0,26,3,4,2323,35.197,-0.971067024073717,-0.238189774509123,"Migrant"
"16","AMB016",219,"Zahamena","Ambodivoangy",1,2,0.06,9,0,1,1,1,31,NA,8,2315,NA,0.556584334912243,-1.98102257539061,"Non-migrant"
"17","AMB017",220,"Zahamena","Ambodivoangy",6,2,1.48,9,0,1,1,1,52,NA,4,2313,NA,2.86245403990718,-2.62644448796169,"Non-migrant"
"18","AMB018",221,"Zahamena","Ambodivoangy",1,1,0.03,8,0,1,3,1,16,NA,7,2328,NA,0.290770624759449,-0.156902971201508,"Non-migrant"
"19","AMB019",222,"Zahamena","Ambodivoangy",1,1,0.02,8,0,0,1,1,6,NA,8,2252,NA,-0.882452120148504,-0.38025822047879,"Non-migrant"
"20","AMB020",223,"Zahamena","Ambodivoangy",1,1,0.04,9,0,0,1,1,10,NA,3,2294,NA,-0.767953921783867,-0.449489832536651,"Non-migrant"
